Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2018 To-Date,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3
,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,,"1,635,707","1,466,431","161,965","5,456,450","2,105,968","1,554,119","198,431","5,800,346", -   , -   , -   , -   , -   , -   , -   , -   ,"3,741,675","3,020,550"
,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions,"11,460","5,708","1,991","28,587","12,321","10,402","2,558","27,948",,,,,,,,,"23,781","16,110"
,I-130,Immediate and Preference Relatives,"199,214","134,532","11,754","1,348,685","214,066","163,866","12,789","1,394,866",,,,,,,,,"413,280","298,398"
,I-485,Family-Based Adjustments,"85,009","63,872","7,797","335,762","78,947","68,869","10,410","344,976",,,,,,,,,"163,956","132,741"
,I-600/600A,Orphan Petitions,587,471,65,521,572,530,80,427,,,,,,,,,"1,159","1,001"
,I-601A,Provisional Waivers,"15,166","15,843",725,"21,464","14,400","11,274",668,"21,695",,,,,,,,,"29,566","27,117"
,I-751,Remove Conditions on Residence,"42,913","23,402","1,342","215,780","45,745","24,017","1,213","241,272",,,,,,,,,"88,658","47,419"
,I-800/800A,Convention Country Adoptions,"1,731","1,740",15,783,"1,503","1,756",20,492,,,,,,,,,"3,234","3,496"
Employment Based,,,,,,,,,,,,,,,,,,,,
,I-129,Nonimmigrant Worker Petitions,"90,753","106,869","32,829","112,588","102,705","104,600","38,023","89,473",,,,,,,,,"193,458","211,469"
,I-140,Immigrant Petitions for Workers,"27,581","27,753","2,488","56,701","27,773","35,808","3,161","47,575",,,,,,,,,"55,354","63,561"
,I-485,Employment-Based Adjustments,"33,320","30,472","2,142","142,561","30,908","28,336","2,593","162,675",,,,,,,,,"64,228","58,808"
,I-526,Petitions by Entrepreneurs,"2,862","2,746",298,"24,627","1,607","3,649",312,"22,607",,,,,,,,,"4,469","6,395"
,I-765,Employment Authorization Documents,"382,278","333,735","29,953","570,212","608,827","359,288","43,318","776,201",,,,,,,,,"991,105","693,023"
,I-829,Remove Conditions on Entrepreneur,694,902, D ,"6,251",957,596,22,"7,447",,,,,,,,,"1,651","1,498"
,I-924/924A,Regional Center Applications,345,112,38,"1,402",508,213,86,"1,598",,,,,,,,,853,325
