Number of Service-wide Forms,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,
"October 1, 2021 - December 31, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,1st Quarter,,,,,                Fiscal Year - To Date,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending
,,,,,,,,,,,,
TOTAL,,"2,067,422","1,438,543","240,671","1,695,034","8,407,773", N/A ,"2,067,422","1,438,543","240,671","1,695,034","8,407,773"
,,,,,,,,,,,,
Family Based,,,,,,,,,,,,
N-648,Medical Certification for Disability Exceptions,"12,288", N/A , N/A ,"12,197","2,787", N/A ,"12,288", N/A , N/A ,"12,197","2,787"
Other,,,,,,,,,,,,
I-90,Application to Replace Permanent Resident Card,"183,367","80,124","2,485","82,609","725,418",1.2,"183,367","80,124","2,485","82,609","725,418"
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,"1,061",555,168,723,"4,157",1.5,"1,061",555,168,723,"4,157"
I-131,Application for Travel Document,"17,289","8,064",971,"9,035","61,341",8.9,"17,289","8,064",971,"9,035","61,341"
I-131,Application for Travel Document (Advance Parole),"201,697","82,523","39,523","122,046","411,473",7.2,"201,697","82,523","39,523","122,046","411,473"
I-131,Application for Travel Document (Parole-in-Place),"4,328","1,461",254,"1,715","4,333",4.4,"4,328","1,461",254,"1,715","4,333"
I-193,Application for Waiver of Passport and/or Visa , D ,16, D ,21,440,70.7, D ,16, D ,21,440
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant ","19,645","9,283","1,066","10,349","72,501",6.7,"19,645","9,283","1,066","10,349","72,501"
I-539,Application To Extend/Change Nonimmigrant Status,"61,186","53,949","21,414","75,363","242,863",7,"61,186","53,949","21,414","75,363","242,863"
I-824,Application for Action on an Approved Application or Petition ,"2,794","1,316",286,"1,602","9,721",4.3,"2,794","1,316",286,"1,602","9,721"
Waivers 19,Waivers,"16,304","10,840","2,110","12,950","234,916",7.5,"16,304","10,840","2,110","12,950","234,916"
I-290B,Notice of Appeal or Motion ,"7,668","3,415","3,431","6,846","27,819",10.5,"7,668","3,415","3,431","6,846","27,819"
Supplemental Processing,,,,,,,,,,,,
DS-230 (IV) 20,Immigrant Visas,"106,211", N/A , N/A ,"85,371","79,982", N/A ,"106,211", N/A , N/A ,"85,371","79,982"
EOIR Adjustment 20,EOIR Adjustment,"6,116", N/A , N/A ,"6,116","9,262", N/A ,"6,116", N/A , N/A ,"6,116","9,262"
Table Key:,,,,,,,,,,,,
N/A  Not available,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,
References:,,,,,,,,,,,,
1 Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,
2 The number of applications or petitions approved during the reporting period.,,,,,,,,,,,,
3 The number of applications or petitions that were denied during the reporting period. Outcomes included in this count will vary by benefit type as not all benefit types have all of these outcomes in every reporting period.  ,,,,,,,,,,,,
"4 Total Completions on the 'Total - All Forms' line are approvals plus denials with two exceptions. The N-648 line does not break down Approvals and Denials, only Completions. The I-589 line includes administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,
5 The number of applications or petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,
"6 Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,
"7 Processing times are defined as the number of months it took for an application, petition, or request to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.",,,,,,,,,,,,
"8 Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,
"9 I-924 approvals include regional center reaffirmations and I-924 denials include regional center terminations. Statutory authorization related to the EB-5 Immigrant Investor Regional Center Program on June 30, 2021. Therefore, USCIS has suspended calculations of processing times for form I-924.",,,,,,,,,,,,
"10 Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant ",,,,,,,,,,,,
   not eligible on the merits of the claim and referred the applicant to an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.,,,,,,,,,,,,
"11 Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,
"12 Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
13 NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. ,,,,,,,,,,,,
"   Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"14 Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,
"15 Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,
"16 Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from initial filing to Bona Fide Determination (BFD) Review.",,,,,,,,,,,,
17 Processing Times shown are for all N-400 Applications for Naturalization.,,,,,,,,,,,,
"18 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,
"19 Includes the following applications filed to waive exclusionary grounds:  Forms I-191, I-192, I-212, I-601, I-602, and I-612.",,,,,,,,,,,,
"20 Immigrant Visa and EOIR Adjustment are not included in the ""Total - All Forms"" line. ",,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"1) Some applications or petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,
"3) Forms received, completed (approved and denied), and pending counts may differ from counts reported in previously published reports due to processing delays and the time at which the data are queried, system updates, and post-adjudicative outcomes.",,,,,,,,,,,,
"4) Completed are the number of applications or petitions approved or denied. Some benefit types include other outcomes, such as administrative closures, in the total number of completed cases. As such, approvals and denials will not sum to the total number of completions for all benefit types.",,,,,,,,,,,,
5) Forms where a processing time is unavailable are shown with an N/A. Processing times may be unavailable for a variety of reasons such as forms pending a processing times calculation or forms where times cannot be calculated. ,,,,,,,,,,,,
"6) Credible and Reasonable Fear screenings (and their respective forms I-870 and I-899) do not confer an immigration benefit, rather they are intended to identify individuals with viable protection claims, which are then referred to the Immigration Courts for adjudication. ",,,,,,,,,,,,
   Asylum Officers do not adjudicate the actual asylum applications during the screening process.,,,,,,,,,,,,
7) Summing the six I-485 types and the four I-765 types results in the overall totals for each form for the reporting period. ,,,,,,,,,,,,
"8) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,
Source:,,,,,,,,,,,,
"All data except I-589, I-870, I-899 and I-881 - Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,
"I-589, I-870, I-899 and I-881 data were provided by the Refugee, Asylum and International Operations (RAIO) Directorate",,,,,,,,,,,,
"PRT, ELIS, CLAIMS3, queried 2/2022, TRK 8799",,,,,,,,,,,,
