,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4th Quarter,,,,,                Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms ,,Completed,,,Processing ,Forms Received,,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,Received 1,Approved 2,Denied 3,Total 4,Pending 5,Time 6,,Approved,Denied,Total,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,," 2,200,024 "," 1,939,071 "," 345,272 "," 2,311,183 "," 8,686,971 ", N/A ," 8,629,636 "," 6,883,950 "," 1,174,863 "," 8,143,283 "," 8,686,971 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document," 18,288 "," 10,491 "," 1,270 "," 11,761 "," 82,206 ", 12.7 ," 72,857 "," 40,669 "," 4,196 "," 44,865 "," 82,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document (Advance Parole)," 120,382 "," 72,897 "," 93,700 "," 166,597 "," 368,522 ", 8.4 ," 578,015 "," 302,360 "," 226,068 "," 528,428 "," 368,522 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131,Application for Travel Document (Parole-in-Place)," 5,407 "," 1,746 ", 253 ," 1,999 "," 6,068 ", 4.8 ," 20,721 "," 7,241 "," 1,275 "," 8,516 "," 6,068 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-131 19,Application for Travel Document (Humanitarian Parole) ," 2,985 "," 1,314 "," 4,757 "," 6,550 "," 43,871 ", N/A ," 46,248 "," 3,359 "," 12,124 "," 16,569 "," 43,871 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-193,Application for Waiver of Passport and/or Visa , D , D , D , 11 , 394 , 79.2 , 35 , 51 , 22 , 73 , 394 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-360,"Petition for Amerasian, Widow(er), or Special Immigrant "," 22,085 "," 8,149 "," 2,477 "," 10,626 "," 88,276 ", 8.7 ," 80,107 "," 39,926 "," 7,409 "," 47,335 "," 88,276 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-539,Application To Extend/Change Nonimmigrant Status," 68,934 "," 59,031 "," 28,582 "," 87,613 "," 224,260 ", 5.4 ," 267,518 "," 240,458 "," 120,145 "," 360,603 "," 224,260 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-824,Application for Action on an Approved Application or Petition ," 6,833 "," 3,939 ", 619 ," 4,558 "," 13,300 ", 3.4 ," 16,989 "," 10,794 "," 2,152 "," 12,946 "," 13,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waivers 20,Waivers," 20,041 "," 6,630 "," 2,300 "," 8,930 "," 269,549 ", 3.6 ," 77,895 "," 34,810 "," 9,507 "," 44,317 "," 269,549 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-290B,Notice of Appeal or Motion ," 6,544 "," 3,077 "," 2,640 "," 5,717 "," 19,582 ", 9.2 ," 25,377 "," 12,073 "," 11,323 "," 23,396 "," 19,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS-230 (IV) 21,Immigrant Visas," 127,462 ", N/A , N/A ,"133,099"," 60,656 ", N/A ," 449,264 ", N/A , N/A ," 453,352 "," 60,656 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOIR Adjustment 21,EOIR Adjustment," 4,992 ", N/A , N/A ," 4,992 "," 24,258 ", N/A ," 21,363 ", N/A , N/A ," 21,363 "," 24,258 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A  Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Forms Received are the number of new applications or petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 The number of applications or petitions approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The number of applications or petitions that were denied during the reporting period. Outcomes included in this count will vary by benefit type as not all benefit types have all of these outcomes in every reporting period.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Total Completions on the 'Total - All Forms' line are approvals plus denials with three exceptions: N-648 does not break down Approvals and Denials, only Completions; and I-589 and I-131 (Humanitarian Parole) include administratively closed cases in Completions, which are not reported under the Approvals or Denials. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 The number of applications or petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6 Processing times are defined as the number of months it took for an application, petition, or request to be processed from receipt to completion in a given time period. The number of months presented is the median which is the time it took to complete 50% of all the cases processed in the quarter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 Includes I-600A, Application for Advance Processing of an Orphan Petition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 Includes I-800A, Application for Determination of Suitability to Adopt a Child from a Convention Country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 I-924 approvals include regional center reaffirmations and I-924 denials include regional center terminations. Statutory authorization related to the EB-5 Immigrant Investor Regional Center Program on June 30, 2021. Therefore, USCIS has suspended calculations of processing times for form I-924.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10Data are for affirmatively filed I-589 asylum applications and do not include defensive asylum claims before a DOJ EOIR immigration court. For affirmative I-589s, the “denial” column includes cases where USCIS found the applicant ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not eligible on the merits of the claim and referred the applicant to an immigration judge. Previous reports did not include referrals in the denied counts. Administratively closed cases are not included in approvals or denials but are included in the total number of completions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11 Includes the following applications for persons applying for benefits under the Immigration Reform and Control Act of 1986:  Forms I-687, I-700. I-698, I-690, I-694, and I-695.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Credible fear cases approved indicate fear established. Credible fear cases denied indicate fear not established.  Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13    NACARA cases approved indicate a grant of suspension of deportation or special rule cancellation of removal and adjustment of status. Denied indicates USCIS found the applicant not eligible on the merits of the claim and referred the applicant to an immigration judge. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Administratively closed and dismissed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14 Reasonable fear cases approved indicate fear established. Reasonable fear cases denied indicate fear not established. Administratively closed cases are not included in approvals or denials, but are included in total number of completions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Includes I-914A, Application for Family Member of T-1 Recipient.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16 Includes I-918A, Petition for Qualifying Family Member of U-1 Recipient. Processing times shown are from initial filing to Bona Fide Determination (BFD) Review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 Processing Times shown are for all N-400 Applications for Naturalization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18 Includes N-600K, Application for Citizenship and Issuance of Certificate Under Section 322. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 This report reflects data for requests filed for individuals outside of the United States requesting parole into the United States based on urgent humanitarian or significant public benefit reasons and individuals inside the United States requesting re-parole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
