,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Service-wide Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Quarter, Form Status, and Processing Time ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fiscal Year 2021, Quarter 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form Number,Description,4th Quarter,,,,,,Fiscal Year - To Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Forms Received,Completed,,,Pending,Processing Time,Forms Received,Completed,,,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Approved,Denied,Total 15,,,,Approved,Denied,Total 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL - ALL FORMS,," 2,343,364 "," 1,905,587 "," 251,700 "," 2,176,453 "," 8,037,262 ", N/A ," 8,839,722 "," 6,138,783 "," 808,323 "," 7,010,652 "," 8,037,262 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-800 2,Petition to Classify Convention Adoptee as an Immediate Relative, 656 , 710 , 17 , 727 , 444 , N/A ," 2,369 "," 3,102 ", 74 ," 3,176 ", 444 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-129,Petition for a Nonimmigrant Worker," 145,196 "," 159,861 "," 22,170 "," 182,031 "," 84,969 ", 2.0 ," 533,684 "," 539,341 "," 76,272 "," 615,613 "," 84,969 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-140,Immigrant Petition for Alien Workers," 48,527 "," 48,974 "," 1,896 "," 50,870 "," 88,970 ", 10.3 ," 179,350 "," 137,073 "," 9,189 "," 146,262 "," 88,970 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-526 ,Immigrant Petition by Alien Investor , 456 , 50 , 266 , 316 ," 13,008 ", 49.0 , 814 ," 2,398 ", 650 ," 3,048 "," 13,008 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-765 3,Application for Employment Authorization ," 690,175 "," 546,726 "," 65,838 "," 612,564 "," 1,482,697 ", 5.0 ," 2,606,402 "," 1,622,666 "," 182,218 "," 1,804,884 "," 1,482,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-829,Petition by Investor to Remove Conditions on Permanent Resident Status , 794 , 404 , 87 , 491 ," 11,448 ", 37.0 ," 3,301 "," 2,013 ", 211 ," 2,224 "," 11,448 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-924 4,Application For Regional Center Designation Under the Immigrant Investor Program , D , -   , -   , -   , 138 , N/A , 14 , 43 , 17 , 60 , 138 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-924A,Annual Certification of Regional Center, D , -   , -   , -   ," 1,481 ", N/A , 434 , -   , -   , -   ," 1,481 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-589 5,Application for Asylum and for Withholding of Removal ," 18,270 "," 1,943 "," 4,677 "," 11,523 "," 412,796 ", N/A ," 61,158 "," 7,118 "," 17,888 "," 39,681 "," 412,796 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legalization 6,Legalization/ SAW, 19 , 0 , 15 , 15 , 521 , N/A , 54 , 10 , 345 , 355 , 521 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-730,Refugee/Asylee Relative Petition," 2,067 "," 1,265 ", 169 ," 1,434 "," 26,066 ", 24.2 ," 8,951 "," 5,545 ", 713 ," 6,258 "," 26,066 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-817,Application for Family Unity Benefits, 80 , 54 , 26 , 80 , 359 , 8.8 , 347 , 557 , 302 , 859 , 359 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-821,Application for Temporary Protected Status," 164,274 "," 15,947 ", 186 ," 16,133 "," 281,259 ", 4.2 ," 301,778 "," 22,141 ", 649 ," 22,790 "," 281,259 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-821D,Consideration of Deferred Action for Childhood Arrivals ," 94,902 "," 135,974 ", 953 ," 136,927 "," 130,333 ", 2.7 ," 438,950 "," 359,362 "," 3,852 "," 363,214 "," 130,333 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-870 7,Record of Determination/Credible Fear Worksheet ," 23,591 "," 15,324 "," 5,959 "," 22,116 "," 4,645 ", N/A ," 59,158 "," 29,827 "," 11,763 "," 43,950 "," 4,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-881 8,App. for Susp. of Deport. or Spec. Rule Cancel. of Remov. (Sect. 203 of Public Law 105-100 (NACARA)) , 57 , 140 , 19 , 189 , 449 , N/A , 208 , 229 , 24 , 286 , 449 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-899 9,Record of Determination/Reasonable Fear Worksheet ," 1,345 ", 353 , 633 ," 1,216 ", 151 , N/A ," 5,104 "," 1,072 "," 2,363 "," 4,494 ", 151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-914 10,Application for T Nonimmigrant Status, 806 , 441 , 168 , 609 ," 4,044 ", 17.1 ," 2,775 "," 1,451 ", 870 ," 2,321 "," 4,044 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-918 11,Petition for U Nonimmigrant Status," 9,268 ", 217 ," 1,760 "," 1,977 "," 285,255 ", 60.3 ," 37,164 "," 16,731 "," 6,679 "," 23,410 "," 285,255 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant, 245 , 89 , 37 , 126 ," 1,410 ", 17.2 ," 1,018 ", 584 , 159 , 743 ," 1,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
